"","Measure","NETS","OR","CI_l","CI_h","COEF","P","BRA_OMN"
"1","Mean","126",4.27288199902532,9.66706622012445,2.19858378087263,-1.45228854079387,0.000104542389330072,0.300965002752139
"2","Median","126",4.56340130267211,10.3597663281679,2.31562791807044,-1.51806824519016,6.358381217074e-05,0.4054935926626
"3","Mean","553",5.18252858309319,12.9448943172621,2.50164965751785,-1.64529308062242,7.62151605816622e-05,0.194586091096462
"4","Median","553",5.0201012735604,12.049501360556,2.45820496752015,-1.61345010751616,6.08990074485227e-05,0.26085369194877
"5","STD","126",4.12462374317635,7.84081623098351,2.3305916637646,-1.41697480185098,3.99966056129083e-06,0.338954072712842
"6","Shanon","126",3.47547698384901,6.32180039897036,2.02366683452345,-1.24573173113654,1.5981978808701e-05,0.546385434312035
"7","STD","553",4.21379078825301,8.05976373296467,2.37691313722022,-1.43836266731828,3.27140247970521e-06,0.482425628083693
"8","Shanon","553",3.39588411136836,6.1559039980834,1.98697888541005,-1.22256414282807,1.97410191899291e-05,0.877840955970721
"9","SampEn","126",3.67041313030229,2.05097129135662,7.2039644254145,1.30030422529566,4.36987119341951e-05,0.875825057708081
"10","ETC","126",2.03686301575179,1.25033671497307,3.48237129953588,0.711410886947968,0.00589257545167403,0.876516928783769
"11","SampEn","553",2.97106756225666,1.74330812111215,5.42878944751773,1.08892133679971,0.000148598490698276,0.97652449590371
"12","ETC","553",2.00896445467086,1.23720843676048,3.41476020946883,0.697619392630409,0.00637775819552694,0.512043942917501
