"","Measure","NETS","OR","CI_l","CI_h","COEF","P","BRA_OMN"
"1","Mean","126",1.40575461367418,2.30302384827089,1.14222177114931,-0.340574250186694,0.161693066899294,0.338276514659418
"2","Median","126",1.39243147680276,2.30202405540791,1.15147916170863,-0.331051482849275,0.17675950809973,0.80882664902869
"3","Mean","553",1.46748221761436,2.41577168518956,1.08584696237395,-0.383548155177775,0.113718072725777,0.497043697777096
"4","Median","553",1.31705868841876,2.13366527033893,1.19534273130552,-0.275400983969312,0.242564828252362,0.453818552499879
"5","STD","126",2.13802580781225,3.68106515291773,1.31460640719848,-0.759882883536665,0.0036166010743186,0.42761599403441
"6","Shanon","126",2.30878123572481,3.94173222895794,1.41901150604388,-0.836719781719624,0.00122884044258817,0.62194265213729
"7","STD","553",2.1539045584205,3.72512511003985,1.31849149396383,-0.767282268755541,0.00360735509716879,0.31455941499149
"8","Shanon","553",2.51631667509067,4.36448375757229,1.52583571994629,-0.922796195421367,0.00053062593838828,0.601079330136778
"9","SampEn","126",2.10090351494147,1.3098364532197,3.50987938743895,0.74236749741067,0.00290041337313432,0.84774875825362
"10","ETC","126",1.98732341982202,1.22997944091121,3.40761216894777,0.686788718226796,0.00748854284217734,0.476579547331579
"11","SampEn","553",1.71916474653061,1.07722716817166,2.83868747569871,0.541838560395231,0.0269459431125657,0.79218606736567
"12","ETC","553",1.37693611736514,1.16149556955063,2.25535470365679,0.319860826052438,0.186434686329259,0.94260939211358
