"","Measure","NETS","OR","CI_l","CI_h","COEF","P","BRA_OMN"
"1","Mean","126",1.94943761272504,1.11688361343417,3.92221372678481,0.667540927248555,0.033245987777037,2.11374409216711e-08
"2","Median","126",5.96644598144935,16.7756332515265,2.56613243731903,-1.78615143714532,0.000215684438727554,0.0361853315888504
"3","Mean","553",1.79200052098586,1.03421759516646,3.56663002693031,0.583332605281414,0.0593488774045057,0.00405721578867404
"4","Median","553",6.22189931407839,19.1044775579263,2.53246126157384,-1.8280752161006,0.000441579016174535,0.265652318033461
"5","STD","126",62.7363978218033,580.871685519994,9.45344057129543,-4.13894178673434,7.00841250222677e-05,0.173232046101392
"6","Shanon","126",3.50355030858207,6.39063712007954,2.04147501707563,-1.25377682824642,1.44506328095472e-05,0.567948762618213
"7","STD","553",44.4703143287653,333.020844576999,8.10017269303272,-3.79482187283055,5.44165572741557e-05,0.176697442470523
"8","Shanon","553",3.8352952415739,7.04364731736326,2.21906997242623,-1.34424641792476,4.39228830012365e-06,0.582180503065577
"9","SampEn","126",4.50433144149081,2.45380344259414,9.08299560682672,1.50503947638275,5.70330668469157e-06,0.997659012555531
"10","ETC","126",3.53841945291301,1.99576940584569,6.83993905312105,1.26368014521485,4.97922491146833e-05,0.73916149497771
"11","SampEn","553",3.56614393127299,2.04383045923133,6.68473195565453,1.27148488073326,2.24417680851643e-05,0.950140389293506
"12","ETC","553",3.5674009712452,2.00228225924194,6.88518986723407,1.27183731139779,4.74387302548895e-05,0.967757978041591
