"","Measure","NETS","OR","CI_l","CI_h","COEF","P","BRA_OMN"
"1","Mean","126",1.31961813085913,1.25501415336236,2.20148120900006,0.277342399940776,0.281435593086096,0.791722726790132
"2","Median","126",1.36951034309398,2.20180220455223,1.15370926143753,-0.314453262152483,0.182531803800883,0.81646694105189
"3","Mean","553",1.54818684202697,1.09380891832945,2.95003147882108,0.437084466867833,0.122370453470069,0.279622859841987
"4","Median","553",1.31401713044831,2.41489458787124,1.32853906493322,-0.273088956848297,0.358566514865234,0.882733619308778
"5","STD","126",1.75347251895089,2.94480343121039,1.07217502761212,-0.561598118362877,0.0282641784252978,0.902957843406127
"6","Shanon","126",2.82380842933184,5.22932316180933,1.64056401501199,-1.03808648069112,0.000380719708592391,0.205082594814022
"7","STD","553",1.86685083408275,3.20390735427569,1.12369233975624,-0.624252965322063,0.0184431011491502,0.465449683195061
"8","Shanon","553",3.86648774340921,8.05387929965337,2.07959751134844,-1.35234653511733,8.32660042773816e-05,0.413514150714096
"9","SampEn","126",1.70372891227227,1.05813313365574,2.81755411656531,0.532819326709022,0.0319049054515088,0.467166451560478
"10","ETC","126",1.30498147110303,2.04008682404159,1.18780341438321,-0.266188842285377,0.231501498579862,0.626395795063602
"11","SampEn","553",1.39224139833432,1.15754911071282,2.33476183576672,0.330914965220625,0.189688893731464,0.39479334332881
"12","ETC","553",1.81336965712859,3.00440121543943,1.12973069961911,-0.595186803503849,0.015486394992084,0.0154747036175363
