"","Number_timepoints","Measure","NETS","OR","CI_l","CI_h","COEF","P","BRA_OMN"
"1","1","Mean","126",3.99186924548731,9.74255078375511,1.95603583567047,-1.38425960377634,0.000869396009680777,1
"2","1","Median","126",3.55625791174096,7.55723118691635,1.92504803279749,-1.26870884363265,0.000292334121503173,1
"3","1","Mean","553",4.09120981470396,10.3680744778928,1.96451373501319,-1.40884072453117,0.00106751810657221,1
"4","1","Median","553",3.8145308994609,8.44878290560719,2.00427883194786,-1.33881769504251,0.000276153241467075,0.00683152333551019
"5","1","STD","126",2.03036397352929,3.23330167483628,1.30847138737657,-0.708215074286922,0.0020252794661701,0.809622515421162
"6","1","Shanon","126",1.70148741224156,2.63184204222235,1.1215847410007,-0.531502816895348,0.0139907810734069,0.895196522592207
"7","1","STD","553",2.34717044951682,3.78030279537667,1.49980047767676,-0.853210538653174,0.000273380166453826,0.815823720316113
"8","1","Shanon","553",1.91658909478802,2.98127555311954,1.26021091747848,-0.650547093037615,0.00290894179142163,0.720895416568779
"9","1","SampEn","126",2.5988046080757,1.61194602239171,4.39081627496907,0.955051573177852,0.00016482452344246,0.0390671843308707
"10","1","ETC","126",2.95490427480639,1.82992367124836,4.98201897360238,1.0834662560208,2.00170972557969e-05,0.57643549996887
"11","1","SampEn","553",2.90003314452069,1.74246089563099,5.11402284935131,1.06472216607218,9.71908223526985e-05,0.581078851778915
"12","1","ETC","553",2.2853741555198,1.44310630903728,3.76705051893917,0.826529755151525,0.00065970488239099,0.957665368779385
"13","6","Mean","126",3.55847328433745,8.25779790800702,1.83019537472462,-1.26933160016612,0.00108272103007112,1
"14","6","Median","126",3.18616881483467,6.72202316465155,1.75448572496267,-1.15881919653568,0.000736281558410102,1
"15","6","Mean","553",3.68723221514477,8.86598106216222,1.85713259257035,-1.30487609940725,0.00120878096494537,1
"16","6","Median","553",3.51639825152878,7.93460239570415,1.84522863278,-1.25743724176145,0.000771841929776441,1
"17","6","STD","126",2.20902555457855,3.55307091477832,1.41366046687585,-0.79255149276335,0.000693338111739626,0.750555181909855
"18","6","Shanon","126",1.76251135285317,2.74931610196282,1.15674696915209,-0.566739697018675,0.00981442292530539,0.805647198317602
"19","6","STD","553",2.48413554990607,4.03478704721736,1.57845329383515,-0.90992473178773,0.000130559924292235,0.792977209972873
"20","6","Shanon","553",1.92041799486377,3.01083041356963,1.25475418177598,-0.652542868003466,0.00331083650560555,0.663919955251891
"21","6","SampEn","126",2.30716314922105,1.44471300296022,3.84742451426899,0.836018695902683,0.00073068202709076,2.36145793590639e-08
"22","6","ETC","126",2.02276067270349,1.30491031332498,3.27845250612373,0.704463248025345,0.00239978007362504,0.843038942051273
"23","6","SampEn","553",2.3564043587163,1.44895651587075,4.03874765479466,0.857136880399,0.000940655176341806,0.14715516320661
"24","6","ETC","553",2.07103979859423,1.33642131942824,3.3564161200882,0.728050799319206,0.00170337158243365,0.971124438358199
"25","13","Mean","126",2.71546550457138,5.79700505671176,1.52038716726978,-0.998963395252945,0.00326943364233553,1
"26","13","Median","126",2.76051586310809,5.94998351398425,1.53954657919609,-1.01541756918736,0.00305747067007863,1
"27","13","Mean","553",2.91083297824865,6.6229718225441,1.57417954798213,-1.06843928704344,0.00353755843785147,1
"28","13","Median","553",2.9167556642715,6.77292036827452,1.56140093791451,-1.0704719247004,0.00422973553078891,1
"29","13","STD","126",2.39656225961357,3.92089401638373,1.51421679143378,-0.87403531867236,0.000283311437089109,0.180702892803253
"30","13","Shanon","126",2.0126773288938,3.2313726205841,1.29011161435405,-0.699465840164843,0.00267420287024051,0.327939486926174
"31","13","STD","553",2.61532860427255,4.356710740196,1.6388219622312,-0.961389750911862,9.99142624820529e-05,0.456019414880697
"32","13","Shanon","553",2.08549319607547,3.36728912105262,1.32930197804658,-0.735005372158756,0.00184757243413733,0.271801526252431
"33","13","SampEn","126",1.69073361387897,1.09343728951834,2.64932782437899,0.525162525797363,0.0189150985569892,3.94435520777969e-08
"34","13","ETC","126",1.86215087720496,1.21440403373763,2.98470920953549,0.621732205220355,0.00589617702053366,0.772315528111665
"35","13","SampEn","553",1.62797112567168,1.04311495613628,2.58038244392924,0.487334531349155,0.0331798701525979,0.000392961014027187
"36","13","ETC","553",1.85464598178434,1.21668039303372,2.94365679027805,0.617693832446818,0.00547282929361874,0.817219075782994
