"","Distal_parameter","Measure","NETS","OR","CI_l","CI_h","COEF","P","BRA_OMN"
"1","13","Mean","126",1.56233450856949,1.01051728787684,2.4383475490295,0.446181182503553,0.0453923898912831,0.0167759194647552
"2","13","Median","126",1.6847039755987,1.09065441293685,2.63287385153493,0.52158986623314,0.0194443843548478,0.0397791949844773
"3","13","Mean","553",1.70297812419043,1.06108366093134,2.78748128417291,0.532378556143219,0.0295851833482775,1.05023388019361e-10
"4","13","Median","553",1.86472116192117,1.1721912513107,3.03026691115549,0.623111530883665,0.00959201861402809,0.000112327721771434
"5","24","Mean","126",1.69938690238968,1.10372949970471,2.65186357194803,0.530267540360756,0.0168667314551682,0.0355429734005723
"6","24","Median","126",1.78519627689765,1.15786296992662,2.7913919681364,0.579528368232852,0.00932781064796842,0.0541436429867363
"7","24","Mean","553",1.92153918159173,1.20900317921769,3.12779365410883,0.653126521963308,0.00665363910758584,0.000119616005630275
"8","24","Median","553",1.98901439175082,1.25428082063597,3.22975106844311,0.68763923551726,0.00410342004086807,0.000605275414566234
"9","13","STD","126",1.07194322477587,1.48956243466348,1.77300773602155,0.069473099283267,0.778557004660874,1
"10","13","Shanon","126",1.41794253527861,1.08998494004,2.21652226574609,0.349206902097376,0.116043346478646,0.000204693346943921
"11","13","STD","553",1.15643855829205,1.84648216590686,1.45387321391768,-0.145345073990586,0.553716669438595,1
"12","13","Shanon","553",1.37600268060224,1.13588837028459,2.17655549635683,0.319182687621347,0.160676487015749,9.87657068230295e-15
"13","24","STD","126",1.41288018668554,1.10751403540246,2.24061990140007,0.345630306537174,0.133614402537716,1.54826704174031e-07
"14","24","Shanon","126",1.60454574797437,1.05376319248736,2.50008676109782,0.472840693454464,0.0296376109276797,0.0181250977824225
"15","24","STD","553",1.333458327309,1.21920460806451,2.22398813269383,0.287775813539698,0.257802640105769,1
"16","24","Shanon","553",1.57713658498816,1.02706773434622,2.48705741476455,0.455610914876045,0.0400919785499243,0.001327506695802
"17","13","SampEn","126",2.50009858161721,1.5343895234106,4.29714252993179,0.916330163743591,0.000448275248562444,0.23468049216832
"18","13","ETC","126",2.32564680585495,1.45972630434064,3.89156109950142,0.843998196416613,0.000652253844961277,0.83304463969784
"19","13","SampEn","553",2.81144086398924,1.71856881104582,4.82547489674053,1.03369711491313,7.87410102641723e-05,0.547092949740625
"20","13","ETC","553",2.56663137057007,1.59679897600266,4.35166411673762,0.942594288371026,0.000207915148381763,0.819696312587992
"21","24","SampEn","126",2.0913569790362,1.3174378906753,3.43558293461881,0.737813127556799,0.00230446600382532,0.272248897786305
"22","24","ETC","126",1.5506204843591,1.01846667996781,2.45238024419605,0.438655163317226,0.0576302477766323,0.617415913879595
"23","24","SampEn","553",1.98413694366021,1.25404045190026,3.21298325088278,0.685184030502916,0.00392035758642255,0.556604838045005
"24","24","ETC","553",1.49687640233118,1.06021154220161,2.38816607269877,0.403380538455903,0.0855233676504915,0.61717553390353
