"","Distal_parameter","Measure","NETS","OR","CI_l","CI_h","COEF","P","BRA_OMN"
"1","13","Mean","126",1.25925147422676,1.31231004461408,2.09527050611409,0.230517476361034,0.366207541291515,9.78806551564094e-05
"2","13","Median","126",1.50201759404681,1.09567686333321,2.52550685835561,0.40680926701955,0.112671272317882,0.00462334452343467
"3","13","Mean","553",1.01145982187259,1.68651636292044,1.75461156120127,0.0113946555046561,0.966817573243261,1
"4","13","Median","553",1.23430419592312,1.37684189635345,2.13013996051359,0.21050740719737,0.437748985866168,1
"5","24","Mean","126",1.5563538933742,1.05058056782501,2.6057832175877,0.442345837797276,0.0810022773763077,0.0139618926282108
"6","24","Median","126",1.65755032698962,1.00860743764827,2.80957201278794,0.505340805808255,0.0502065491423303,0.0243827989410651
"7","24","Mean","553",1.32920874474324,1.27094619264723,2.28481985683082,0.284583836428844,0.2884627329137,4.67931570472136e-78
"8","24","Median","553",1.40480363277728,1.19706124712234,2.41281345150912,0.339897529870086,0.202167698690988,2.36736601161162e-11
"9","13","STD","126",1.4932690940716,2.57073636183773,1.10420299730994,-0.400967739470741,0.116508198523274,1
"10","13","Shanon","126",1.00340723914113,1.61732561223711,1.61202361864949,0.00340144765343853,0.988750200456023,5.3520335427226e-11
"11","13","STD","553",1.84621434904937,3.55877315116073,1.09080194881074,-0.613137244751147,0.0346178896863742,1
"12","13","Shanon","553",1.14341461392239,1.89743389729731,1.43876443203899,-0.134019060877122,0.596736081452006,1
"13","24","STD","126",1.07904352280704,1.49487656283551,1.75136998996648,0.0760750217062975,0.754964526533861,2.64429386275765e-25
"14","24","Shanon","126",1.3600135715457,1.15898323001606,2.16286900743462,0.307494678775889,0.183024544995425,6.53019839153576e-05
"15","24","STD","553",1.1394664325526,1.89121185884623,1.48405056183337,-0.130560111220208,0.611523474725695,1
"16","24","Shanon","553",1.20814529383039,1.34507959158387,1.96346717122973,0.189086368629666,0.43904907252404,2.33614158878351e-05
"17","13","SampEn","126",3.20475668049813,1.78430533572556,6.27011697534202,1.16463616876933,0.000264289638326521,0.218051872321705
"18","13","ETC","126",2.73201828962435,1.59794774123113,4.97494653909369,1.00504063627777,0.000465432725157227,0.572126652236056
"19","13","SampEn","553",3.0230161486348,1.7297068049767,5.70711824247646,1.10625505770657,0.000241603340237059,0.10801418393193
"20","13","ETC","553",3.07502419525468,1.73141988508013,5.92270000509316,1.12331276960303,0.000324765583369556,0.956888033414887
"21","24","SampEn","126",2.38912791533707,1.3916208977589,4.39702798915454,0.870928410374932,0.00263146254516887,0.303862055972207
"22","24","ETC","126",2.53390550331264,1.48907243972548,4.56843056378922,0.929761789693198,0.00103733521726582,0.739346980322427
"23","24","SampEn","553",1.79740088680807,1.07467300081013,3.07023058321882,0.586341669625833,0.0270081498511219,0.0573135483509583
"24","24","ETC","553",2.34238311907504,1.40362873404336,4.0852541928473,0.851168838079857,0.0016171256034173,0.120729371609929
